id,modbus_address,parameter_description,standard,data_type,data_range,model,mod_default,register_number,indb,setup
47,4194,var_phase_a,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,1,0
48,4195,var_phase_b,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,1,0
49,4196,var_phase_c,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,1,0
50,4198,power_factor,sunspec,int16,"[-1000, 1000]","[1, 4]",NULL,1,1,0
51,4199,pf_phase_a,sunspec,int16,"[-1000, 1000]","[1, 4]",NULL,1,1,0
52,4200,pf_phase_b,sunspec,int16,"[-1000, 1000]","[1, 4]",NULL,1,1,0
53,4201,pf_phase_c,sunspec,int16,"[-1000, 1000]","[1, 4]",NULL,1,1,0
54,"[4203, 4204]",total_real_energy_exported,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,1,0
55,"[4205, 4206]",total_watt_hours_exported_in_phase_a,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,1,0
56,"[4207, 4208]",total_watt_hours_exported_in_phase_b,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,1,0
57,"[4209, 4210]",total_watt_hours_exported_in_phase_c,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,1,0
58,"[4211, 4212]",total_real_energy_imported,sunspec,acc32,"[0, 999999999]","[1, 4]",NULL,2,1,0
59,"[4213, 4214]",total_watt_hours_imported_phase_a,sunspec,acc32,"[0, 999999999]","[1, 4]",NULL,2,1,0
60,"[4215, 4216]",total_watt_hours_imported_phase_b,sunspec,acc32,"[0, 999999999]","[1, 4]",NULL,2,1,0
61,"[4217, 4218]",total_watt_hours_imported_phase_c,sunspec,acc32,"[0, 999999999]","[1, 4]",NULL,2,1,0
62,"[4220, 4221]",total_va_hours_exported,sunspec,acc32,"[0, 999999999]","[3, 4]",NULL,2,1,0
63,"[4222, 4223]",total_va_hours_exported_phase_a,sunspec,acc32,"[0, 999999999]","[3, 4]",NULL,2,1,0
64,"[4224, 4225]",total_va_hours_exported_phase_b,sunspec,acc32,"[0, 999999999]","[3, 4]",NULL,2,1,0
65,"[4226, 4227]",total_va_hours_exported_phase_c,sunspec,acc32,"[0, 999999999]","[3, 4]",NULL,2,1,0
66,"[4228, 4229]",total_va_hours_imported,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,1,0
67,"[4230, 4231]",total_va_hours_imported_phase_a,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,1,0
68,"[4232, 4233]",total_va_hours_imported_phase_b,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,1,0
69,"[4234, 4235]",total_va_hours_imported_phase_c,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,1,0
70,"[4237, 4238]",total_var_hours_imported_q1,sunspec,bitfield32,"[0, 999999999]","[2, 4]",NULL,2,1,0
71,"[4239, 4240]",total_var_hours_imported_q1_phase_a,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,1,0
72,"[4241, 4242]",total_var_hours_imported_q1_phase_b,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,1,0
73,"[4243, 4244]",total_var_hours_imported_q1_phase_c,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,1,0
74,"[4245, 4246]",total_var_hours_imported_q2,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,1,0
75,"[4247, 4248]",total_var_hours_imported_q2_phase_a,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,1,0
76,"[4249, 4250]",total_var_hours_imported_q2_phase_b,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,1,0
77,"[4251, 4252]",total_var_hours_imported_q2_phase_c,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,1,0
78,"[4253, 4254]",total_var_hours_exported_q3,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,1,0
79,"[4255, 4256]",total_var_hours_exported_q3_phase_a,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,1,0
80,"[4257, 4258]",total_var_hours_exported_q3_phase_b,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,1,0
81,"[4259, 4260]",total_var_hours_exported_q3_phase_c,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,1,0
82,"[4261, 4262]",total_var_hours_exported_q4,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,1,0
83,"[4263, 4264]",total_var_hours_exported_q4_phase_a,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,1,0
84,"[4265, 4266]",total_var_hours_exported_q4_phase_b,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,1,0
85,"[4267, 4268]",total_var_hours_exported_q4_phase_c,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,1,0
